Empreendimento;Bairro;Cidade;Lat;Lon; Valorempr ;ValorM;Area
Reserva Mirataia II - Novolar;Jacarepaguá; Rio de Janeiro - RJ;-22973000;-43392780; R$ 227.000,00 ;5766,00;Zona Oeste
Edifício Anglia Sala SA0004 - Homer Exclusividades;Centro; Rio de Janeiro - RJ;-22904480;-43177900; R$ 220.000,00 ;5789,00;Centro
Viver Mais Campo Grande - RDR Engenharia;Campo Grande; Rio de Janeiro - RJ;-22904640;-43573540; R$ 210.000,00 ;4755,00;Zona Oeste
Liv Blue - Arbbo;Freguesia (Jacarepaguá); Rio de Janeiro - RJ;-22945670;-43352840; R$ 210.000,00 ;5315,00;Zona Oeste
Vivaz Andaraí - Vivaz RJ;Andaraí; Rio de Janeiro - RJ;-22927750;-43251920; R$ 209.174,00 ;6580,00;Zona Norte
Vivaz Rua Honório - Vivaz RJ;Engenho de Dentro; Rio de Janeiro - RJ;-22899700;-43295830; R$ 199.000,00 ;6112,00;Zona Norte
Recanto das Flores II - Tenda RJ;Madureira; Rio de Janeiro - RJ;-22873040;-43335700; R$ 197.565,00 ;4873,00;Zona Norte
Cedro Rosa - MRV RJ;Campo Grande; Rio de Janeiro - RJ;-22904640;-43573540; R$ 191.490,00 ;4255,00;Zona Oeste
Condomínio do Edificio Conde Mayer Apto AP0107 - Homer Exclusividades;Méier; Rio de Janeiro - RJ;-22902220;-43280350; R$ 190.000,00 ;2923,00;Zona Norte
Único Bonsucesso - Cury RJ;Bonsucesso; Rio de Janeiro - RJ;-22866000;-43255410; R$ 187.800,00 ;4815,00;Zona Norte
Vitale Flow - Vitale;Irajá; Rio de Janeiro - RJ;-22839270;-43324010; R$ 187.000,00 ;6091,00;Zona Norte
Neolink Office Mall & Stay - Lojas - Helbor RJ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 184.518,00 ;6590,00;Zona Oeste
Vitale Rise - Vitale;Encantado; Rio de Janeiro - RJ;-22901450;-43178920; R$ 183.000,00 ;4980,00;Centro
Flores do Brito - Fase 2 - Novolar;Campo Grande; Rio de Janeiro - RJ;-22904640;-43573540; R$ 178.000,00 ;4051,00;Zona Oeste
Flores do Brito - Fase 1 - Novolar;Campo Grande; Rio de Janeiro - RJ;-22904640;-43573540; R$ 178.000,00 ;4051,00;Zona Oeste
Olinda Ellis - Residencial Ipês - Fase 1 - Direcional RJ;Campo Grande; Rio de Janeiro - RJ;-22904640;-43573540; R$ 177.000,00 ;4289,00;Zona Oeste
